GID0,CODIGO1,NOME_MUN2,CO_IBGE3,CO_TEMA4,CO_SUBTE5,CO_INDIC6,NU_ANO7,VALOR8
62,120033,Mâncio Lima,120033,1,3,42,2010,15.5
80,130020,Atalaia do Norte,130020,1,3,42,2010,62.5
68,120042,Rodrigues Alves,120042,1,3,42,2010,20.6
99,130165,Guajará,130165,1,3,42,2010,32.7
58,120020,Cruzeiro do Sul,120020,1,3,42,2010,11.9
66,120039,Porto Walter,120039,1,3,42,2010,54.1
64,120035,Marechal Thaumaturgo,120035,1,3,42,2010,41.7
61,120032,Jordão,120032,1,3,42,2010,53.2
72,120060,Tarauacá,120060,1,3,42,2010,32.3
60,120030,Feijó,120030,1,3,42,2010,15.3
101,130180,Ipixuna,130180,1,3,42,2010,52.3
96,130140,Eirunepé,130140,1,3,42,2010,26.3
84,130060,Benjamin Constant,130060,1,3,42,2010,44.7
69,120043,Santa Rosa do Purus,120043,1,3,42,2010,10.3
97,130150,Envira,130150,1,3,42,2010,30.4
71,120050,Sena Madureira,120050,1,3,42,2010,10.9
63,120034,Manoel Urbano,120034,1,3,42,2010,9.6
54,120005,Assis Brasil,120005,1,3,42,2010,6.7
108,130230,Jutaí,130230,1,3,42,2010,33.7
127,130390,São Paulo de Olivença,130390,1,3,42,2010,58.3
106,130210,Japurá,130210,1,3,42,2010,51.7
126,130380,São Gabriel da Cachoeira,130380,1,3,42,2010,43.9
130,130406,Tabatinga,130406,1,3,42,2010,19
125,130370,Santo Antônio do Içá,130370,1,3,42,2010,37.1
121,130350,Pauini,130350,1,3,42,2010,40.7
55,120010,Brasiléia,120010,1,3,42,2010,5.2
104,130195,Itamarati,130195,1,3,42,2010,42.1
67,120040,Rio Branco,120040,1,3,42,2010,3.1
87,130070,Boca do Acre,130070,1,3,42,2010,26.6
73,120070,Xapuri,120070,1,3,42,2010,10.7
59,120025,Epitaciolândia,120025,1,3,42,2010,6.9
133,130423,Tonantins,130423,1,3,42,2010,40.3
76,130006,Amaturá,130006,1,3,42,2010,33
56,120013,Bujari,120013,1,3,42,2010,13.6
91,130100,Carauari,130100,1,3,42,2010,18.3
74,120080,Porto Acre,120080,1,3,42,2010,7.4
57,120017,Capixaba,120017,1,3,42,2010,8.6
70,120045,Senador Guiomard,120045,1,3,42,2010,2.6
131,130410,Tapauá,130410,1,3,42,2010,32.3
