GID0,CODIGO1,NOME_MUN2,CO_IBGE3,CO_TEMA4,CO_SUBTE5,CO_INDIC6,NU_ANO7,VALOR8
62,120033,Mâncio Lima,120033,3,1,163,2012,0
80,130020,Atalaia do Norte,130020,3,1,163,2012,0
68,120042,Rodrigues Alves,120042,3,1,163,2012,0
99,130165,Guajará,130165,3,1,163,2012,0
58,120020,Cruzeiro do Sul,120020,3,1,163,2012,0
66,120039,Porto Walter,120039,3,1,163,2012,0
64,120035,Marechal Thaumaturgo,120035,3,1,163,2012,0
61,120032,Jordão,120032,3,1,163,2012,0
72,120060,Tarauacá,120060,3,1,163,2012,0
60,120030,Feijó,120030,3,1,163,2012,0
101,130180,Ipixuna,130180,3,1,163,2012,0
96,130140,Eirunepé,130140,3,1,163,2012,0
84,130060,Benjamin Constant,130060,3,1,163,2012,0
69,120043,Santa Rosa do Purus,120043,3,1,163,2012,0
97,130150,Envira,130150,3,1,163,2012,0
71,120050,Sena Madureira,120050,3,1,163,2012,0
63,120034,Manoel Urbano,120034,3,1,163,2012,0
54,120005,Assis Brasil,120005,3,1,163,2012,0
108,130230,Jutaí,130230,3,1,163,2012,0
127,130390,São Paulo de Olivença,130390,3,1,163,2012,0
106,130210,Japurá,130210,3,1,163,2012,0
126,130380,São Gabriel da Cachoeira,130380,3,1,163,2012,0
130,130406,Tabatinga,130406,3,1,163,2012,1.8
125,130370,Santo Antônio do Içá,130370,3,1,163,2012,0
121,130350,Pauini,130350,3,1,163,2012,0
55,120010,Brasiléia,120010,3,1,163,2012,0
104,130195,Itamarati,130195,3,1,163,2012,0
67,120040,Rio Branco,120040,3,1,163,2012,0
87,130070,Boca do Acre,130070,3,1,163,2012,0
73,120070,Xapuri,120070,3,1,163,2012,0
59,120025,Epitaciolândia,120025,3,1,163,2012,0
133,130423,Tonantins,130423,3,1,163,2012,0
76,130006,Amaturá,130006,3,1,163,2012,0
56,120013,Bujari,120013,3,1,163,2012,0
91,130100,Carauari,130100,3,1,163,2012,0
74,120080,Porto Acre,120080,3,1,163,2012,0
57,120017,Capixaba,120017,3,1,163,2012,0
70,120045,Senador Guiomard,120045,3,1,163,2012,0
131,130410,Tapauá,130410,3,1,163,2012,0
65,120038,Plácido de Castro,120038,3,1,163,2012,0
124,130360,Santa Isabel do Rio Negro,130360,3,1,163,2012,0
109,130240,Lábrea,130240,3,1,163,2012,0
98,130160,Fonte Boa,130160,3,1,163,2012,0
107,130220,Juruá,130220,3,1,163,2012,0
53,120001,Acrelândia,120001,3,1,163,2012,0
132,130420,Tefé,130420,3,1,163,2012,0
17,110020,Porto Velho,110020,3,1,163,2012,0.2
114,130280,Maraã,130280,3,1,163,2012,0
134,130426,Uarini,130426,3,1,163,2012,0
75,130002,Alvarães,130002,3,1,163,2012,0
94,130120,Coari,130120,3,1,163,2012,0
10,110010,Guajará-Mirim,110010,3,1,163,2012,0
24,110033,Nova Mamoré,110033,3,1,163,2012,0
82,130040,Barcelos,130040,3,1,163,2012,0
90,130090,Canutama,130090,3,1,163,2012,0
137,140002,Amajari,140002,3,1,163,2012,0
8,110008,Costa Marques,110008,3,1,163,2012,0
95,130130,Codajás,130130,3,1,163,2012,0
28,110045,Buritis,110045,3,1,163,2012,0
138,140005,Alto Alegre,140005,3,1,163,2012,0
31,110070,Campo Novo de Rondônia,110070,3,1,163,2012,0
46,110149,São Francisco do Guaporé,110149,3,1,163,2012,0
118,130320,Novo Airão,130320,3,1,163,2012,0
144,140028,Iracema,140028,3,1,163,2012,0
32,110080,Candeias do Jamari,110080,3,1,163,2012,0
27,110040,Alto Paraíso,110040,3,1,163,2012,0
47,110150,Seringueiras,110150,3,1,163,2012,0
100,130170,Humaitá,130170,3,1,163,2012,0
23,110032,São Miguel do Guaporé,110032,3,1,163,2012,0
36,110100,Governador Jorge Teixeira,110100,3,1,163,2012,0
2,110002,Ariquemes,110002,3,1,163,2012,0
40,110140,Monte Negro,110140,3,1,163,2012,0
37,110110,Itapuã do Oeste,110110,3,1,163,2012,0
30,110060,Cacaulândia,110060,3,1,163,2012,0
25,110034,Alvorada D'Oeste,110034,3,1,163,2012,0
39,110130,Mirante da Serra,110130,3,1,163,2012,0
11,110011,Jaru,110011,3,1,163,2012,0
19,110026,Rio Crespo,110026,3,1,163,2012,0
35,110094,Cujubim,110094,3,1,163,2012,0
145,140030,Mucajaí,140030,3,1,163,2012,0
