municipio_id,municipio,estado_id,estado,população,domicilios,domicilios_particulares_permanentes,agua_rede_geral_%,agua_poco_nascente_%,agua_cisterna_%,agua_outras_%,esgoto_total_%,esgoto_rede_geral_%,esgoto_fossa_septica_%,esgoto_fossa_rudimentar_%,esgoto_vala_%,esgoto_rio_lago_mar_%,esgoto_outro_%,agua_rede_geral,agua_poco_nascente,agua_cisterna,agua_outras,esgoto_total,esgoto_rede_geral,esgoto_fossa,esgoto_fossa,esgoto_vala,esgoto_rio_lago_mar,esgoto_outro,amebiase_pcmh,colera_pcmh,dengue_pcmh,esquistossomose_pcmh,filariose_pcmh,leptospirose_pcmh,tifoide_pcmh,diarréia_pcmh,amebiase,colera,dengue,esquistossomose,filariose,leptospirose,tifoide,diarreia,hepatite_a_pcmh,hepatite_a
110001,Alta Floresta D'Oeste,11,Rondônia,24075,7443,7270,0.244,0.6928,0,0.0631,0.9649,0.0029,0.0195,0.8942,0.0143,0.0041,0.0298,1774,5037,0,459,7015,21,142,6501,104,30,217,12.5,0,120.5,0,0,0,0,0,3.009375,0,29.010375,0,0,0,0,0,0,0
110002,Ariquemes,11,Rondônia,89737,27654,27166,0.3524,0.633,0,0.0142,0.9933,0.0117,0.0774,0.894,0.0025,0.0012,0.0066,9574,17195,0,386,26985,319,2102,24286,67,33,178,5.4,0,20.5,0,0,0,0,2.2,4.845798,0,18.396085,0,0,0,0,1.974214,0,0
110003,Cabixi,11,Rondônia,6304,1979,1975,0.24,0.7149,0,0.0451,0.9924,0.001,0.2091,0.7711,0.003,0.0005,0.0076,474,1412,0,89,1960,2,413,1523,6,1,15,0,0,179.4,0,0,0,0,0,0,0,11.309376,0,0,0,0,0,0,0
110004,Cacoal,11,Rondônia,78336,24413,24215,0.761,0.2186,0,0.0184,0.9892,0.401,0.1393,0.4276,0.0116,0.004,0.0057,18428,5294,1,445,23954,9711,3373,10354,281,98,137,0,0,17.6,0,0,2.5,0,0,0,0,13.787136,0,0,1.9584,0,0,25,19.584
110005,Cerejeiras,11,Rondônia,16946,5399,5348,0.3396,0.6358,0,0.0138,0.9841,0.0009,0.1664,0.8117,0.0022,0,0.0028,1816,3400,0,74,5263,5,890,4341,12,0,15,0,0,676.5,0,0,0,0,0,0,0,114.63969,0,0,0,0,0,0,0
110006,Colorado do Oeste,11,Rondônia,18529,6013,5959,0.607,0.3484,0,0.0446,0.9918,0.005,0.0467,0.904,0.0146,0.0102,0.0112,3617,2076,0,266,5910,30,278,5387,87,61,67,5.5,0,1343.1,0,0,0,0,5.5,1.019095,0,248.862999,0,0,0,0,1.019095,0,0
110007,Corumbiara,11,Rondônia,8628,2770,2649,0.1299,0.8026,0,0.0649,0.9713,0.0019,0.1136,0.8381,0.0106,0,0.0072,344,2126,0,172,2573,5,301,2220,28,0,19,0,0,105.5,0,0,0,0,0,0,0,9.10254,0,0,0,0,0,0,0
110008,Costa Marques,11,Rondônia,13502,3811,3696,0.1648,0.7919,0,0.0357,0.9697,0.0014,0.0777,0.6851,0.0601,0,0.1456,609,2927,0,132,3584,5,287,2532,222,0,538,0,0,0,0,0,7,0,0,0,0,0,0,0,0.94514,0,0,0,0
110009,Espigão D'Oeste,11,Rondônia,28558,8797,8683,0.2747,0.6623,0,0.0577,0.9835,0.0038,0.1339,0.7485,0.0439,0.0293,0.0242,2385,5751,0,501,8540,33,1163,6499,381,254,210,0,0,58.2,0,0,0,0,0,0,0,16.620756,0,0,0,0,0,34,9.70972
110010,Guajará-Mirim,11,Rondônia,40036,11348,10684,0.4473,0.4853,0,0.0658,0.9754,0.0836,0.138,0.5761,0.0608,0.0025,0.1144,4779,5185,0,703,10421,893,1474,6155,650,27,1222,0,0,21.3,0,0,0,0,2.4,0,0,8.527668,0,0,0,0,0.960864,0,0
