Código da Unidade da Federação,Nome da Unidade da Federação,Código do Município,Nome do Município,Ano de Instalação do Município
11,Rondônia,1100015,Alta Floresta D'Oeste,1986
11,Rondônia,1100023,Ariquemes,1977
11,Rondônia,1100031,Cabixi,1989
11,Rondônia,1100049,Cacoal,1977
11,Rondônia,1100056,Cerejeiras,1983
11,Rondônia,1100064,Colorado do Oeste,1981
11,Rondônia,1100072,Corumbiara,1993
11,Rondônia,1100080,Costa Marques,1981
11,Rondônia,1100098,Espigão D'Oeste,1981
11,Rondônia,1100106,Guajará-Mirim,1943
11,Rondônia,1100114,Jaru,1981
11,Rondônia,1100122,Ji-Paraná,1977
11,Rondônia,1100130,Machadinho D'Oeste,1989
11,Rondônia,1100148,Nova Brasilândia D'Oeste,1989
11,Rondônia,1100155,Ouro Preto do Oeste,1981
11,Rondônia,1100189,Pimenta Bueno,1977
11,Rondônia,1100205,Porto Velho,1943
11,Rondônia,1100254,Presidente Médici,1981
11,Rondônia,1100262,Rio Crespo,1993
11,Rondônia,1100288,Rolim de Moura,1983
11,Rondônia,1100296,Santa Luzia D'Oeste,1986
11,Rondônia,1100304,Vilhena,1977
11,Rondônia,1100320,São Miguel do Guaporé,1989
11,Rondônia,1100338,Nova Mamoré,1989
11,Rondônia,1100346,Alvorada D'Oeste,1986
11,Rondônia,1100379,Alto Alegre dos Parecis,1997
11,Rondônia,1100403,Alto Paraíso,1993
11,Rondônia,1100452,Buritis,1997
11,Rondônia,1100502,Novo Horizonte do Oeste,1993
11,Rondônia,1100601,Cacaulândia,1993
11,Rondônia,1100700,Campo Novo de Rondônia,1993
11,Rondônia,1100809,Candeias do Jamari,1993
11,Rondônia,1100908,Castanheiras,1993
11,Rondônia,1100924,Chupinguaia,1997
11,Rondônia,1100940,Cujubim,1997
11,Rondônia,1101005,Governador Jorge Teixeira,1993
11,Rondônia,1101104,Itapuã do Oeste,1993
11,Rondônia,1101203,Ministro Andreazza,1993
11,Rondônia,1101302,Mirante da Serra,1993
11,Rondônia,1101401,Monte Negro,1993
11,Rondônia,1101435,Nova União,1997
11,Rondônia,1101450,Parecis,1997
11,Rondônia,1101468,Pimenteiras do Oeste,1997
11,Rondônia,1101476,Primavera de Rondônia,1997
11,Rondônia,1101484,São Felipe D'Oeste,1997
11,Rondônia,1101492,São Francisco do Guaporé,1997
11,Rondônia,1101500,Seringueiras,1993
11,Rondônia,1101559,Teixeirópolis,1997
11,Rondônia,1101609,Theobroma,1993
